cohort_week,acquisition_channel,target_role,step_order,funnel_step,users_reached,conversion_from_signup,conversion_from_previous_step
2025-12-29,Company career site,Data Analyst,1,Account created,9,1.0,1.0
2025-12-29,Company career site,Data Analyst,2,Logged in,7,0.7778,0.7778
2025-12-29,Company career site,Data Analyst,3,Job saved,6,0.6667,0.8571
2025-12-29,Company career site,Data Analyst,4,Prep plan generated,5,0.5556,0.8333
2025-12-29,Company career site,Data Analyst,5,First note completed,5,0.5556,1.0
2025-12-29,Company career site,Data Analyst,6,Exam submitted,4,0.4444,0.8
2025-12-29,Company career site,Data Analyst,7,Mock interview completed,2,0.2222,0.5
2025-12-29,Company career site,Finance Analyst,1,Account created,10,1.0,1.0
2025-12-29,Company career site,Finance Analyst,2,Logged in,10,1.0,1.0
2025-12-29,Company career site,Finance Analyst,3,Job saved,6,0.6,0.6
2025-12-29,Company career site,Finance Analyst,4,Prep plan generated,5,0.5,0.8333
2025-12-29,Company career site,Finance Analyst,5,First note completed,5,0.5,1.0
2025-12-29,Company career site,Finance Analyst,6,Exam submitted,4,0.4,0.8
2025-12-29,Company career site,Finance Analyst,7,Mock interview completed,0,0.0,0.0
2025-12-29,Company career site,Product Manager,1,Account created,8,1.0,1.0
2025-12-29,Company career site,Product Manager,2,Logged in,6,0.75,0.75
2025-12-29,Company career site,Product Manager,3,Job saved,3,0.375,0.5
2025-12-29,Company career site,Product Manager,4,Prep plan generated,2,0.25,0.6667
2025-12-29,Company career site,Product Manager,5,First note completed,2,0.25,1.0
2025-12-29,Company career site,Product Manager,6,Exam submitted,2,0.25,1.0
2025-12-29,Company career site,Product Manager,7,Mock interview completed,0,0.0,0.0
2025-12-29,Company career site,Software Engineer,1,Account created,8,1.0,1.0
2025-12-29,Company career site,Software Engineer,2,Logged in,7,0.875,0.875
2025-12-29,Company career site,Software Engineer,3,Job saved,7,0.875,1.0
2025-12-29,Company career site,Software Engineer,4,Prep plan generated,6,0.75,0.8571
2025-12-29,Company career site,Software Engineer,5,First note completed,6,0.75,1.0
2025-12-29,Company career site,Software Engineer,6,Exam submitted,5,0.625,0.8333
2025-12-29,Company career site,Software Engineer,7,Mock interview completed,2,0.25,0.4
2025-12-29,Company career site,UX Designer,1,Account created,7,1.0,1.0
2025-12-29,Company career site,UX Designer,2,Logged in,7,1.0,1.0
2025-12-29,Company career site,UX Designer,3,Job saved,7,1.0,1.0
2025-12-29,Company career site,UX Designer,4,Prep plan generated,5,0.7143,0.7143
2025-12-29,Company career site,UX Designer,5,First note completed,5,0.7143,1.0
2025-12-29,Company career site,UX Designer,6,Exam submitted,4,0.5714,0.8
2025-12-29,Company career site,UX Designer,7,Mock interview completed,4,0.5714,1.0
2025-12-29,Handshake extension,Data Analyst,1,Account created,12,1.0,1.0
2025-12-29,Handshake extension,Data Analyst,2,Logged in,12,1.0,1.0
2025-12-29,Handshake extension,Data Analyst,3,Job saved,9,0.75,0.75
2025-12-29,Handshake extension,Data Analyst,4,Prep plan generated,6,0.5,0.6667
2025-12-29,Handshake extension,Data Analyst,5,First note completed,6,0.5,1.0
2025-12-29,Handshake extension,Data Analyst,6,Exam submitted,4,0.3333,0.6667
2025-12-29,Handshake extension,Data Analyst,7,Mock interview completed,2,0.1667,0.5
2025-12-29,Handshake extension,Finance Analyst,1,Account created,8,1.0,1.0
2025-12-29,Handshake extension,Finance Analyst,2,Logged in,7,0.875,0.875
2025-12-29,Handshake extension,Finance Analyst,3,Job saved,5,0.625,0.7143
2025-12-29,Handshake extension,Finance Analyst,4,Prep plan generated,5,0.625,1.0
2025-12-29,Handshake extension,Finance Analyst,5,First note completed,5,0.625,1.0
2025-12-29,Handshake extension,Finance Analyst,6,Exam submitted,2,0.25,0.4
2025-12-29,Handshake extension,Finance Analyst,7,Mock interview completed,1,0.125,0.5
2025-12-29,Handshake extension,Product Manager,1,Account created,6,1.0,1.0
2025-12-29,Handshake extension,Product Manager,2,Logged in,6,1.0,1.0
2025-12-29,Handshake extension,Product Manager,3,Job saved,3,0.5,0.5
2025-12-29,Handshake extension,Product Manager,4,Prep plan generated,1,0.1667,0.3333
2025-12-29,Handshake extension,Product Manager,5,First note completed,1,0.1667,1.0
2025-12-29,Handshake extension,Product Manager,6,Exam submitted,1,0.1667,1.0
2025-12-29,Handshake extension,Product Manager,7,Mock interview completed,0,0.0,0.0
2025-12-29,Handshake extension,Software Engineer,1,Account created,12,1.0,1.0
2025-12-29,Handshake extension,Software Engineer,2,Logged in,12,1.0,1.0
2025-12-29,Handshake extension,Software Engineer,3,Job saved,9,0.75,0.75
