event_date,feature,target_role,total_generations,successful_generations,failed_generations,success_rate,average_latency_ms,total_tokens
2026-01-01,job_analysis,Product Manager,1,1,0,1.0,2764.0,1775
2026-01-01,prep_plan,Product Manager,1,1,0,1.0,1919.0,1292
2026-01-02,job_analysis,Data Analyst,1,1,0,1.0,3021.0,1312
2026-01-02,job_analysis,Software Engineer,4,4,0,1.0,1579.25,5300
2026-01-02,prep_plan,Software Engineer,1,1,0,1.0,1301.0,1579
2026-01-02,study_notes,Product Manager,1,1,0,1.0,1936.0,2452
2026-01-02,study_notes,Software Engineer,1,1,0,1.0,1888.0,2148
2026-01-03,job_analysis,Data Analyst,2,2,0,1.0,1810.0,2697
2026-01-03,job_analysis,Finance Analyst,3,3,0,1.0,1749.0,3764
2026-01-03,job_analysis,Product Manager,2,2,0,1.0,1752.0,2460
2026-01-03,job_analysis,Software Engineer,4,4,0,1.0,1769.75,6164
2026-01-03,job_analysis,UX Designer,1,1,0,1.0,1215.0,738
2026-01-03,prep_plan,Data Analyst,1,1,0,1.0,1368.0,1270
2026-01-03,prep_plan,Software Engineer,2,2,0,1.0,1443.5,2468
2026-01-04,exam_generation,Software Engineer,1,1,0,1.0,1441.0,1404
2026-01-04,job_analysis,Finance Analyst,2,2,0,1.0,1233.5,3774
2026-01-04,job_analysis,Software Engineer,3,3,0,1.0,2582.0,4256
2026-01-04,job_analysis,UX Designer,3,3,0,1.0,1409.0,4345
2026-01-04,prep_plan,Data Analyst,1,0,1,0.0,2010.0,556
2026-01-04,prep_plan,Finance Analyst,1,1,0,1.0,1884.0,1700
2026-01-04,prep_plan,Product Manager,1,1,0,1.0,2504.0,1502
2026-01-04,prep_plan,Software Engineer,2,2,0,1.0,1455.5,2617
2026-01-04,prep_plan,UX Designer,1,0,1,0.0,1534.0,716
2026-01-04,study_notes,Product Manager,1,1,0,1.0,1950.0,1946
2026-01-04,study_notes,Software Engineer,1,1,0,1.0,1957.0,1994
2026-01-05,exam_generation,Software Engineer,1,1,0,1.0,2228.0,1818
2026-01-05,job_analysis,Data Analyst,4,4,0,1.0,1496.5,5563
2026-01-05,job_analysis,Finance Analyst,1,1,0,1.0,1401.0,1700
2026-01-05,job_analysis,Product Manager,2,2,0,1.0,1940.0,3126
2026-01-05,job_analysis,Software Engineer,4,4,0,1.0,1771.25,5840
2026-01-05,job_analysis,UX Designer,1,1,0,1.0,1168.0,1540
2026-01-05,prep_plan,Data Analyst,1,1,0,1.0,1576.0,1581
2026-01-05,prep_plan,Finance Analyst,2,2,0,1.0,2380.0,3604
2026-01-05,prep_plan,Software Engineer,1,1,0,1.0,1042.0,1607
2026-01-05,prep_plan,UX Designer,1,1,0,1.0,1771.0,1908
2026-01-05,study_notes,Data Analyst,3,3,0,1.0,3156.33,4643
2026-01-05,study_notes,Finance Analyst,2,2,0,1.0,2710.5,4764
2026-01-05,study_notes,Product Manager,1,1,0,1.0,3464.0,1487
2026-01-05,study_notes,Software Engineer,5,5,0,1.0,1977.8,8770
2026-01-05,study_notes,UX Designer,1,0,1,0.0,2900.0,665
2026-01-06,exam_generation,UX Designer,1,1,0,1.0,1483.0,1640
2026-01-06,job_analysis,Data Analyst,4,4,0,1.0,1859.75,5776
2026-01-06,job_analysis,Finance Analyst,2,2,0,1.0,1633.5,2317
2026-01-06,job_analysis,Product Manager,1,1,0,1.0,1561.0,2072
2026-01-06,job_analysis,Software Engineer,6,6,0,1.0,1501.17,9622
2026-01-06,job_analysis,UX Designer,1,1,0,1.0,2979.0,1997
2026-01-06,prep_plan,Data Analyst,3,3,0,1.0,1359.33,4135
2026-01-06,prep_plan,Finance Analyst,2,2,0,1.0,1607.5,3725
2026-01-06,prep_plan,Product Manager,1,1,0,1.0,1404.0,1695
2026-01-06,prep_plan,Software Engineer,1,1,0,1.0,1296.0,1350
2026-01-06,study_notes,Data Analyst,2,2,0,1.0,2952.5,3919
2026-01-06,study_notes,Finance Analyst,4,4,0,1.0,1862.25,7713
2026-01-06,study_notes,Product Manager,3,2,1,0.6667,2412.0,4680
2026-01-06,study_notes,Software Engineer,5,5,0,1.0,1713.6,8942
2026-01-06,study_notes,UX Designer,1,1,0,1.0,1363.0,2289
2026-01-07,job_analysis,Data Analyst,2,2,0,1.0,1689.0,3551
2026-01-07,job_analysis,Finance Analyst,4,4,0,1.0,1434.25,6447
2026-01-07,job_analysis,Product Manager,2,2,0,1.0,1486.0,3610
2026-01-07,job_analysis,Software Engineer,3,3,0,1.0,1737.33,5332
2026-01-07,job_analysis,UX Designer,3,3,0,1.0,1886.67,4595
2026-01-07,prep_plan,Data Analyst,1,0,1,0.0,1610.0,921
2026-01-07,prep_plan,Finance Analyst,1,1,0,1.0,2297.0,1339
2026-01-07,prep_plan,Product Manager,1,1,0,1.0,1009.0,1789
2026-01-07,prep_plan,Software Engineer,1,1,0,1.0,1969.0,1081
2026-01-07,prep_plan,UX Designer,2,2,0,1.0,1773.5,2645
2026-01-07,study_notes,Data Analyst,7,7,0,1.0,1939.29,12872
2026-01-07,study_notes,Finance Analyst,1,1,0,1.0,1766.0,1642
2026-01-07,study_notes,Product Manager,2,2,0,1.0,1907.5,2961
2026-01-07,study_notes,Software Engineer,6,5,1,0.8333,2096.33,8914
2026-01-07,study_notes,UX Designer,1,1,0,1.0,1812.0,1969
2026-01-08,exam_generation,Finance Analyst,1,0,1,0.0,2278.0,379
