event_date,acquisition_channel,target_role,active_users,signups,job_saves,plans_generated,notes_completed,exams_submitted,mocks_completed
2026-01-01,Company career site,Data Analyst,1,1,0,0,0,0,0
2026-01-01,Company career site,Finance Analyst,5,5,0,0,0,0,0
2026-01-01,Company career site,Product Manager,1,1,0,0,0,0,0
2026-01-01,Company career site,Software Engineer,2,2,0,0,0,0,0
2026-01-01,Company career site,UX Designer,1,1,0,0,0,0,0
2026-01-01,Handshake extension,Data Analyst,1,1,0,0,0,0,0
2026-01-01,Handshake extension,Finance Analyst,1,1,0,0,0,0,0
2026-01-01,Handshake extension,Product Manager,2,2,0,0,0,0,0
2026-01-01,Handshake extension,Software Engineer,2,2,0,0,0,0,0
2026-01-01,Handshake extension,UX Designer,2,2,0,0,0,0,0
2026-01-01,LinkedIn extension,Finance Analyst,4,4,0,0,0,0,0
2026-01-01,LinkedIn extension,Product Manager,4,4,0,0,0,0,0
2026-01-01,LinkedIn extension,Software Engineer,4,4,0,0,0,0,0
2026-01-01,LinkedIn extension,UX Designer,2,2,0,0,0,0,0
2026-01-01,Manual paste,Finance Analyst,2,2,0,0,0,0,0
2026-01-01,Manual paste,Product Manager,5,5,1,1,0,0,0
2026-01-01,Manual paste,Software Engineer,1,1,0,0,0,0,0
2026-01-01,Manual paste,UX Designer,5,5,0,0,0,0,0
2026-01-02,Company career site,Data Analyst,3,2,1,0,0,0,0
2026-01-02,Company career site,Finance Analyst,3,1,0,0,0,0,0
2026-01-02,Company career site,Product Manager,4,3,0,0,0,0,0
2026-01-02,Company career site,Software Engineer,4,3,1,0,0,0,0
2026-01-02,Company career site,UX Designer,1,0,0,0,0,0,0
2026-01-02,Handshake extension,Data Analyst,1,1,0,0,0,0,0
2026-01-02,Handshake extension,Finance Analyst,1,1,0,0,0,0,0
2026-01-02,Handshake extension,Product Manager,2,2,0,0,0,0,0
2026-01-02,Handshake extension,Software Engineer,7,5,0,0,0,0,0
2026-01-02,Handshake extension,UX Designer,7,6,0,0,0,0,0
2026-01-02,LinkedIn extension,Data Analyst,3,3,0,0,0,0,0
2026-01-02,LinkedIn extension,Finance Analyst,4,3,0,0,0,0,0
2026-01-02,LinkedIn extension,Product Manager,3,2,0,0,0,0,0
2026-01-02,LinkedIn extension,Software Engineer,6,4,2,0,0,0,0
2026-01-02,LinkedIn extension,UX Designer,2,1,0,0,0,0,0
2026-01-02,Manual paste,Data Analyst,2,2,0,0,0,0,0
2026-01-02,Manual paste,Product Manager,7,5,0,0,1,0,0
2026-01-02,Manual paste,Software Engineer,7,6,1,1,1,0,0
2026-01-02,Manual paste,UX Designer,3,2,0,0,0,0,0
2026-01-03,Company career site,Data Analyst,4,3,0,1,0,0,0
2026-01-03,Company career site,Finance Analyst,4,2,1,0,0,0,0
2026-01-03,Company career site,Product Manager,1,0,0,0,0,0,0
2026-01-03,Company career site,Software Engineer,3,1,2,1,0,0,0
2026-01-03,Company career site,UX Designer,2,2,0,0,0,0,0
2026-01-03,Handshake extension,Data Analyst,1,1,0,0,0,0,0
2026-01-03,Handshake extension,Finance Analyst,4,4,1,0,0,0,0
2026-01-03,Handshake extension,Product Manager,2,2,0,0,0,0,0
2026-01-03,Handshake extension,Software Engineer,3,2,0,0,0,0,0
2026-01-03,Handshake extension,UX Designer,3,2,1,0,0,0,0
2026-01-03,LinkedIn extension,Data Analyst,5,5,1,0,0,0,0
2026-01-03,LinkedIn extension,Finance Analyst,3,0,1,0,0,0,0
2026-01-03,LinkedIn extension,Product Manager,3,1,1,0,0,0,0
2026-01-03,LinkedIn extension,Software Engineer,8,6,2,1,0,0,0
2026-01-03,LinkedIn extension,UX Designer,3,3,0,0,0,0,0
2026-01-03,Manual paste,Data Analyst,6,6,1,0,0,0,0
2026-01-03,Manual paste,Finance Analyst,1,1,0,0,0,0,0
2026-01-03,Manual paste,Product Manager,5,1,1,0,0,0,0
2026-01-03,Manual paste,Software Engineer,2,2,0,0,0,0,0
2026-01-03,Manual paste,UX Designer,1,1,0,0,0,0,0
2026-01-04,Company career site,Data Analyst,4,3,0,0,0,0,0
2026-01-04,Company career site,Finance Analyst,2,2,0,0,0,0,0
2026-01-04,Company career site,Product Manager,4,4,0,0,0,0,0
2026-01-04,Company career site,Software Engineer,4,2,0,1,0,0,0
2026-01-04,Company career site,UX Designer,5,4,0,0,0,0,0
2026-01-04,Handshake extension,Data Analyst,9,9,0,0,0,0,0
2026-01-04,Handshake extension,Finance Analyst,5,2,1,1,0,0,0
2026-01-04,Handshake extension,Software Engineer,4,3,1,0,0,0,0
2026-01-04,Handshake extension,UX Designer,3,3,0,0,0,0,0
2026-01-04,LinkedIn extension,Data Analyst,4,3,0,0,0,0,0
2026-01-04,LinkedIn extension,Finance Analyst,4,4,0,0,0,0,0
2026-01-04,LinkedIn extension,Product Manager,5,5,0,0,0,0,0
2026-01-04,LinkedIn extension,Software Engineer,8,5,2,1,0,0,0
2026-01-04,LinkedIn extension,UX Designer,4,3,1,0,0,0,0
2026-01-04,Manual paste,Data Analyst,3,1,0,1,0,0,0
2026-01-04,Manual paste,Finance Analyst,5,5,1,0,0,0,0
2026-01-04,Manual paste,Product Manager,5,3,0,1,1,0,0
2026-01-04,Manual paste,Software Engineer,7,4,0,0,0,1,0
2026-01-04,Manual paste,UX Designer,3,1,2,1,0,0,0
2026-01-05,Company career site,Data Analyst,4,2,0,0,1,0,0
2026-01-05,Company career site,Finance Analyst,2,2,0,0,0,0,0
2026-01-05,Company career site,Product Manager,3,1,0,0,0,0,0
2026-01-05,Company career site,Software Engineer,4,1,0,1,3,1,0
2026-01-05,Company career site,UX Designer,4,2,0,0,0,0,0
2026-01-05,Handshake extension,Data Analyst,4,1,1,1,0,0,0
2026-01-05,Handshake extension,Finance Analyst,4,2,0,1,0,0,0
2026-01-05,Handshake extension,Product Manager,1,0,1,0,0,0,0
2026-01-05,Handshake extension,Software Engineer,3,1,1,0,0,0,0
2026-01-05,Handshake extension,UX Designer,8,5,1,1,0,0,0
2026-01-05,LinkedIn extension,Data Analyst,7,4,2,0,0,0,0
2026-01-05,LinkedIn extension,Finance Analyst,7,4,0,1,0,0,0
2026-01-05,LinkedIn extension,Product Manager,3,2,1,0,0,0,0
2026-01-05,LinkedIn extension,Software Engineer,11,6,2,0,2,0,0
2026-01-05,LinkedIn extension,UX Designer,3,2,0,0,0,0,0
2026-01-05,Manual paste,Data Analyst,8,6,1,0,2,0,0
2026-01-05,Manual paste,Finance Analyst,3,2,1,0,0,0,0
2026-01-05,Manual paste,Product Manager,6,4,0,0,1,0,0
2026-01-05,Manual paste,Software Engineer,1,1,1,0,0,0,0
2026-01-05,Manual paste,UX Designer,5,4,0,0,1,0,0
2026-01-06,Company career site,Data Analyst,2,2,0,0,0,0,0
2026-01-06,Company career site,Finance Analyst,2,2,1,0,0,0,0
2026-01-06,Company career site,Product Manager,2,1,0,0,0,0,0
2026-01-06,Company career site,Software Engineer,4,2,0,0,3,0,0
