event_month,target_role,feature,unique_users,event_count,active_users,adoption_rate
2026-01,Data Analyst,auth,279,526,279,1.0
2026-01,Data Analyst,dashboard,65,87,279,0.233
2026-01,Data Analyst,exams,46,244,279,0.1649
2026-01,Data Analyst,jobs,119,324,279,0.4265
2026-01,Data Analyst,mock_interviews,15,30,279,0.0538
2026-01,Data Analyst,prep_plans,88,104,279,0.3154
2026-01,Data Analyst,study_notes,87,1205,279,0.3118
2026-01,Finance Analyst,auth,284,538,284,1.0
2026-01,Finance Analyst,dashboard,57,92,284,0.2007
2026-01,Finance Analyst,exams,41,197,284,0.1444
2026-01,Finance Analyst,jobs,115,315,284,0.4049
2026-01,Finance Analyst,mock_interviews,12,22,284,0.0423
2026-01,Finance Analyst,prep_plans,80,91,284,0.2817
2026-01,Finance Analyst,study_notes,75,885,284,0.2641
2026-01,Product Manager,auth,308,590,308,1.0
2026-01,Product Manager,dashboard,65,87,308,0.211
2026-01,Product Manager,exams,44,178,308,0.1429
2026-01,Product Manager,jobs,139,358,308,0.4513
2026-01,Product Manager,mock_interviews,9,17,308,0.0292
2026-01,Product Manager,prep_plans,90,108,308,0.2922
2026-01,Product Manager,study_notes,83,974,308,0.2695
2026-01,Software Engineer,auth,313,591,313,1.0
2026-01,Software Engineer,dashboard,82,123,313,0.262
2026-01,Software Engineer,exams,58,320,313,0.1853
2026-01,Software Engineer,jobs,157,407,313,0.5016
2026-01,Software Engineer,mock_interviews,21,40,313,0.0671
2026-01,Software Engineer,prep_plans,109,129,313,0.3482
2026-01,Software Engineer,study_notes,105,1393,313,0.3355
2026-01,UX Designer,auth,309,582,309,1.0
2026-01,UX Designer,dashboard,82,121,309,0.2654
2026-01,UX Designer,exams,58,276,309,0.1877
2026-01,UX Designer,jobs,147,367,309,0.4757
2026-01,UX Designer,mock_interviews,17,34,309,0.055
2026-01,UX Designer,prep_plans,102,122,309,0.3301
2026-01,UX Designer,study_notes,96,1310,309,0.3107
2026-02,Data Analyst,auth,224,433,356,0.6292
2026-02,Data Analyst,dashboard,152,270,356,0.427
2026-02,Data Analyst,exams,87,448,356,0.2444
2026-02,Data Analyst,jobs,161,439,356,0.4522
2026-02,Data Analyst,mock_interviews,43,79,356,0.1208
2026-02,Data Analyst,prep_plans,112,149,356,0.3146
2026-02,Data Analyst,study_notes,144,2035,356,0.4045
2026-02,Finance Analyst,auth,265,498,395,0.6709
2026-02,Finance Analyst,dashboard,164,281,395,0.4152
2026-02,Finance Analyst,exams,94,531,395,0.238
