target_role,acquisition_channel,exam_difficulty,learners_with_exam_attempts,learners_with_multiple_attempts,average_first_exam_score,average_latest_exam_score,average_score_improvement,mock_interviews_started,mock_interviews_completed,mock_completion_rate,average_mock_score
Data Analyst,Company career site,All,0,0,0.0,0.0,0.0,41,31,0.7561,64.34
Data Analyst,Company career site,Easy,13,9,54.94,68.87,13.93,0,0,0,0.0
Data Analyst,Company career site,Hard,24,17,56.15,61.8,5.65,0,0,0,0.0
Data Analyst,Company career site,Medium,46,31,57.25,64.84,7.6,0,0,0,0.0
Data Analyst,Handshake extension,All,0,0,0.0,0.0,0.0,105,85,0.8095,61.93
Data Analyst,Handshake extension,Easy,33,26,60.05,67.23,7.18,0,0,0,0.0
Data Analyst,Handshake extension,Hard,40,29,55.67,60.39,4.72,0,0,0,0.0
Data Analyst,Handshake extension,Medium,84,63,60.08,64.11,4.04,0,0,0,0.0
Data Analyst,LinkedIn extension,All,0,0,0.0,0.0,0.0,100,82,0.82,63.25
Data Analyst,LinkedIn extension,Easy,36,29,62.47,71.39,8.93,0,0,0,0.0
Data Analyst,LinkedIn extension,Hard,41,31,52.57,57.4,4.83,0,0,0,0.0
Data Analyst,LinkedIn extension,Medium,88,71,58.38,64.54,6.16,0,0,0,0.0
Data Analyst,Manual paste,All,0,0,0.0,0.0,0.0,27,21,0.7778,63.44
Data Analyst,Manual paste,Easy,17,11,60.75,68.29,7.54,0,0,0,0.0
Data Analyst,Manual paste,Hard,21,14,55.68,56.18,0.5,0,0,0,0.0
Data Analyst,Manual paste,Medium,42,27,60.59,62.75,2.16,0,0,0,0.0
Finance Analyst,Company career site,All,0,0,0.0,0.0,0.0,26,22,0.8462,65.63
Finance Analyst,Company career site,Easy,18,15,60.77,71.38,10.62,0,0,0,0.0
Finance Analyst,Company career site,Hard,17,13,53.93,61.34,7.41,0,0,0,0.0
Finance Analyst,Company career site,Medium,42,29,57.29,62.78,5.49,0,0,0,0.0
Finance Analyst,Handshake extension,All,0,0,0.0,0.0,0.0,89,66,0.7416,64.19
Finance Analyst,Handshake extension,Easy,32,23,60.92,69.97,9.05,0,0,0,0.0
Finance Analyst,Handshake extension,Hard,37,32,55.51,59.16,3.65,0,0,0,0.0
