cohort_week,weeks_since_signup,cohort_size,retained_users,retention_rate
2025-12-29,0,208,208,1.0
2025-12-29,1,208,92,0.4423
2025-12-29,2,208,112,0.5385
2025-12-29,3,208,94,0.4519
2025-12-29,4,208,69,0.3317
2025-12-29,5,208,35,0.1683
2025-12-29,6,208,26,0.125
2025-12-29,7,208,24,0.1154
2025-12-29,8,208,24,0.1154
2025-12-29,9,208,17,0.0817
2025-12-29,10,208,19,0.0913
2025-12-29,11,208,12,0.0577
2025-12-29,12,208,10,0.0481
2026-01-05,0,290,290,1.0
2026-01-05,1,290,138,0.4759
2026-01-05,2,290,143,0.4931
2026-01-05,3,290,112,0.3862
2026-01-05,4,290,75,0.2586
2026-01-05,5,290,52,0.1793
2026-01-05,6,290,30,0.1034
2026-01-05,7,290,39,0.1345
2026-01-05,8,290,30,0.1034
2026-01-05,9,290,32,0.1103
2026-01-05,10,290,21,0.0724
2026-01-05,11,290,11,0.0379
2026-01-05,12,290,16,0.0552
2026-01-12,0,343,343,1.0
2026-01-12,1,343,150,0.4373
2026-01-12,2,343,163,0.4752
2026-01-12,3,343,131,0.3819
2026-01-12,4,343,97,0.2828
2026-01-12,5,343,45,0.1312
2026-01-12,6,343,55,0.1603
2026-01-12,7,343,34,0.0991
2026-01-12,8,343,33,0.0962
2026-01-12,9,343,26,0.0758
2026-01-12,10,343,20,0.0583
2026-01-12,11,343,23,0.0671
2026-01-12,12,343,13,0.0379
2026-01-19,0,335,335,1.0
2026-01-19,1,335,147,0.4388
2026-01-19,2,335,164,0.4896
2026-01-19,3,335,122,0.3642
2026-01-19,4,335,87,0.2597
2026-01-19,5,335,60,0.1791
2026-01-19,6,335,50,0.1493
2026-01-19,7,335,25,0.0746
2026-01-19,8,335,26,0.0776
2026-01-19,9,335,25,0.0746
2026-01-19,10,335,21,0.0627
2026-01-19,11,335,17,0.0507
2026-01-19,12,335,6,0.0179
2026-01-26,0,355,355,1.0
2026-01-26,1,355,162,0.4563
2026-01-26,2,355,179,0.5042
2026-01-26,3,355,145,0.4085
2026-01-26,4,355,99,0.2789
2026-01-26,5,355,48,0.1352
2026-01-26,6,355,51,0.1437
2026-01-26,7,355,36,0.1014
2026-01-26,8,355,38,0.107
2026-01-26,9,355,29,0.0817
2026-01-26,10,355,26,0.0732
2026-01-26,11,355,22,0.062
2026-01-26,12,355,14,0.0394
2026-02-02,0,304,304,1.0
2026-02-02,1,304,133,0.4375
2026-02-02,2,304,144,0.4737
2026-02-02,3,304,119,0.3914
2026-02-02,4,304,82,0.2697
2026-02-02,5,304,49,0.1612
2026-02-02,6,304,28,0.0921
2026-02-02,7,304,37,0.1217
2026-02-02,8,304,27,0.0888
2026-02-02,9,304,11,0.0362
2026-02-02,10,304,17,0.0559
2026-02-02,11,304,12,0.0395
2026-02-02,12,304,15,0.0493
2026-02-09,0,289,289,1.0
2026-02-09,1,289,139,0.481
2026-02-09,2,289,150,0.519
2026-02-09,3,289,117,0.4048
2026-02-09,4,289,88,0.3045
2026-02-09,5,289,55,0.1903
2026-02-09,6,289,45,0.1557
2026-02-09,7,289,34,0.1176
2026-02-09,8,289,31,0.1073
2026-02-09,9,289,22,0.0761
2026-02-09,10,289,16,0.0554
2026-02-09,11,289,15,0.0519
2026-02-09,12,289,14,0.0484
2026-02-16,0,288,288,1.0
2026-02-16,1,288,116,0.4028
2026-02-16,2,288,136,0.4722
2026-02-16,3,288,106,0.3681
2026-02-16,4,288,74,0.2569
2026-02-16,5,288,41,0.1424
2026-02-16,6,288,35,0.1215
2026-02-16,7,288,32,0.1111
2026-02-16,8,288,24,0.0833
2026-02-16,9,288,20,0.0694
2026-02-16,10,288,13,0.0451
2026-02-16,11,288,14,0.0486
2026-02-16,12,288,8,0.0278
2026-02-23,0,304,304,1.0
2026-02-23,1,304,132,0.4342
2026-02-23,2,304,149,0.4901
2026-02-23,3,304,112,0.3684
2026-02-23,4,304,78,0.2566
2026-02-23,5,304,50,0.1645
2026-02-23,6,304,35,0.1151
2026-02-23,7,304,37,0.1217
2026-02-23,8,304,26,0.0855
2026-02-23,9,304,23,0.0757
2026-02-23,10,304,12,0.0395
2026-02-23,11,304,18,0.0592
2026-02-23,12,304,20,0.0658
2026-03-02,0,309,309,1.0
2026-03-02,1,309,145,0.4693
2026-03-02,2,309,151,0.4887
2026-03-02,3,309,116,0.3754
2026-03-02,4,309,76,0.246
2026-03-02,5,309,46,0.1489
2026-03-02,6,309,42,0.1359
2026-03-02,7,309,29,0.0939
2026-03-02,8,309,29,0.0939
2026-03-02,9,309,22,0.0712
2026-03-02,10,309,22,0.0712
2026-03-02,11,309,14,0.0453
2026-03-02,12,309,13,0.0421
2026-03-09,0,315,315,1.0
2026-03-09,1,315,142,0.4508
2026-03-09,2,315,163,0.5175
2026-03-09,3,315,133,0.4222
2026-03-09,4,315,88,0.2794
2026-03-09,5,315,62,0.1968
2026-03-09,6,315,40,0.127
2026-03-09,7,315,39,0.1238
2026-03-09,8,315,18,0.0571
2026-03-09,9,315,18,0.0571
2026-03-09,10,315,15,0.0476
2026-03-09,11,315,22,0.0698
2026-03-09,12,315,11,0.0349
2026-03-16,0,334,334,1.0
2026-03-16,1,334,141,0.4222
2026-03-16,2,334,161,0.482
2026-03-16,3,334,116,0.3473
2026-03-16,4,334,95,0.2844
2026-03-16,5,334,51,0.1527
2026-03-16,6,334,44,0.1317
2026-03-16,7,334,33,0.0988
2026-03-16,8,334,31,0.0928
2026-03-16,9,334,24,0.0719
2026-03-16,10,334,24,0.0719
2026-03-16,11,334,14,0.0419
